Year,Wins
2022,78
2021,92
2020,24
2019,84
2018,108
2017,93
2016,93
2015,78
2014,71
2013,97
2012,69
2011,90
2010,89
2009,95
2008,95
2007,96
2006,86
2005,95
2004,98
2003,95
2002,93
2001,82
2000,85
1999,94
1998,92
Year,BOS
1997,78
1996,85
1995,86
1994,54
1993,80
1992,73
1991,84
1990,88
1989,83
1988,89
1987,78
1986,95
1985,81
1984,86
1983,78
1982,89
1981,59
1980,83
1979,91
1978,99
1977,97
1976,83
1975,95
1974,84
1973,89
Year,BOS
1972,85
1971,85
1970,87
1969,87
1968,86
1967,92
1966,72
1965,62
1964,72
1963,76
1962,76
1961,76
1960,65
1959,75
1958,79
1957,82
1956,84
1955,84
1954,69
1953,84
1952,76
1951,87
1950,94
1949,96
1948,96
Year,BOS
1947,83
1946,104
1945,71
1944,77
1943,68
1942,93
1941,84
1940,82
1939,89
1938,88
1937,80
1936,74
1935,78
1934,76
1933,63
1932,43
1931,62
1930,52
1929,58
1928,57
1927,51
1926,46
1925,47
1924,67
1923,61
Year,BOS
1922,61
1921,75
1920,72
1919,66
1918,75
1917,90
1916,91
1915,101
1914,91
1913,79
1912,105
1911,78
1910,81
1909,88
1908,75
1907,59
1906,49
1905,78
1904,95
1903,91
1902,77
1901,79
